ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
0.9757557,0,0.014772851,0.64,-0.32675,-0.0128214,7.29773,7.52799,9.40752,12.4227,20.114,25.6285,35.6111,59.0647,126.378,176.973,200,75.4021,25.23,15.4447,11.3696,6.59691,4.8916,3.84745,3.70325
0.4077425,0,0.014502815,0.64,-0.326265,-0.0133774,7.29504,7.5242,9.3996,12.4079,20.0739,25.5667,35.5039,58.809,125.365,175.063,200,76.3392,25.3779,15.4974,11.3989,6.60748,4.89756,3.85085,3.70593
1,0,0.0142212678,0.64,-0.325794,-0.0139472,7.29248,7.52035,9.39178,12.3932,20.0334,25.5026,35.3947,58.5509,124.343,173.155,200,77.3152,25.5275,15.5513,11.4275,6.61804,4.90351,3.85418,3.7085
0.7854252,0,0.0139314197,0.64,-0.325221,-0.0145022,7.28955,7.51599,9.38325,12.3778,19.9924,25.4391,35.2873,58.3005,123.376,171.361,200,78.2798,25.6792,15.6066,11.458,6.62929,4.91023,3.85815,3.71167
1,0,0.0136155188,0.64,-0.324553,-0.0150892,7.28589,7.51123,9.37397,12.3614,19.9485,25.3721,35.1743,58.0366,122.367,169.506,200,79.3203,25.8392,15.6668,11.4906,6.64163,4.91759,3.86255,3.71533
0.30239487,0,0.0132836048,0.64,-0.323903,-0.0156943,7.28235,7.50647,9.36472,12.3445,19.9035,25.3041,35.0597,57.7691,121.345,167.628,200,80.41,26.0052,15.729,11.5246,6.65423,4.92489,3.86694,3.71899
1,0,0.0129465545,0.64,-0.323278,-0.0163013,7.27905,7.50171,9.35576,12.3282,19.8594,25.2368,34.9451,57.5045,120.343,165.799,200,81.5189,26.1698,15.7905,11.5576,6.6666,4.93201,3.87122,3.72241
0.6984682,0,0.012615541,0.64,-0.322662,-0.0168712,7.27563,7.49716,9.34676,12.3122,19.8163,25.1721,34.8373,57.2567,119.424,164.133,200,82.5784,26.3303,15.851,11.5903,6.67874,4.93913,3.87524,3.72595
1,0,0.0122110397,0.64,-0.321786,-0.0175278,7.27087,7.49089,9.33549,12.2921,19.7653,25.0957,34.7088,56.9673,118.362,162.225,200,83.8483,26.5214,15.925,11.6301,6.69444,4.94852,3.8811,3.73071
0.5080967,0,0.011829759,0.64,-0.32098,-0.0181324,7.26648,7.48516,9.32523,12.2738,19.7177,25.0254,34.5928,56.7018,117.398,160.509,200,85.0387,26.6973,15.9952,11.6676,6.70859,4.95704,3.88635,3.73523
1,0,0.0114366841,0.64,-0.32019,-0.0187456,7.26233,7.47955,9.31478,12.2556,19.6696,24.955,34.4756,56.4374,116.44,158.804,200,86.2687,26.8769,16.0647,11.7057,6.72299,4.96546,3.89157,3.73962
0.7808504,0,0.0110579226,0.64,-0.319419,-0.0193235,7.25818,7.47427,9.30508,12.2383,19.624,24.8883,34.3655,56.1898,115.564,157.255,200,87.4388,27.0472,16.1333,11.7412,6.7365,4.97365,3.89656,3.74377
1,0,0.0106446994,0.64,-0.318508,-0.019921,7.2533,7.46795,9.29394,12.2191,19.5748,24.8174,34.2489,55.9313,114.656,155.665,200,88.6888,27.2313,16.2082,11.7811,6.75199,4.98311,3.90241,3.7489
0.16820717,0,0.0102069676,0.64,-0.317545,-0.0205318,7.24792,7.46125,9.28218,12.1991,19.5235,24.7444,34.1293,55.6662,113.735,154.059,200,90.01,27.4222,16.2868,11.8234,6.76841,4.99303,3.90876,3.75439
